cycle number	Q discharge/mA.h	Q charge/mA.h	Ewe/V	(Q-Qo)/mA.h	time/s	<I>/mA	Capacity/mA.h	Efficiency/%	
0,000000000000000E+000	2,842280363912556E+000	0,000000000000000E+000	2,4349313E+000	-2,185195077830103E+000	3,110478521422701E+003	-4,497806028064292E+000	2,842280363912556E+000	0,0000000E+000
0,000000000000000E+000	2,879762295889881E+000	0,000000000000000E+000	2,4336252E+000	-2,222677009807428E+000	3,140478520664838E+003	-4,497831950903795E+000	2,879762295889881E+000	0,0000000E+000
0,000000000000000E+000	2,917244810418183E+000	0,000000000000000E+000	2,4325213E+000	-2,260159524335729E+000	3,170478519906974E+003	-4,497901857022682E+000	2,917244810418183E+000	0,0000000E+000
0,000000000000000E+000	2,954726326892589E+000	0,000000000000000E+000	2,4313068E+000	-2,297641040810135E+000	3,200478519149110E+003	-4,497782090552244E+000	2,954726326892589E+000	0,0000000E+000
0,000000000000000E+000	2,992207599114260E+000	0,000000000000000E+000	2,4301536E+000	-2,335122313031806E+000	3,230478518391246E+003	-4,497752780223338E+000	2,992207599114260E+000	0,0000000E+000
0,000000000000000E+000	3,029688352519592E+000	0,000000000000000E+000	2,4291186E+000	-2,372603066437138E+000	3,260478517633383E+003	-4,497690522261127E+000	3,029688352519592E+000	0,0000000E+000
0,000000000000000E+000	3,067169409662327E+000	0,000000000000000E+000	2,4280224E+000	-2,410084123579873E+000	3,290478516875519E+003	-4,497726970750284E+000	3,067169409662327E+000	0,0000000E+000
0,000000000000000E+000	3,104650320840015E+000	0,000000000000000E+000	2,4269340E+000	-2,447565034757561E+000	3,320478516117655E+003	-4,497709454944279E+000	3,104650320840015E+000	0,0000000E+000
0,000000000000000E+000	3,142130751913867E+000	0,000000000000000E+000	2,4258914E+000	-2,485045465831412E+000	3,350478515359791E+003	-4,497651842482369E+000	3,142130751913867E+000	0,0000000E+000
0,000000000000000E+000	3,179610974697591E+000	0,000000000000000E+000	2,4249365E+000	-2,522525688615137E+000	3,380478514601928E+003	-4,497626847666547E+000	3,179610974697591E+000	0,0000000E+000
0,000000000000000E+000	3,217092066518096E+000	0,000000000000000E+000	2,4239702E+000	-2,560006780435641E+000	3,410478513844064E+003	-4,497731132082837E+000	3,217092066518096E+000	0,0000000E+000
0,000000000000000E+000	3,254573391201789E+000	0,000000000000000E+000	2,4230194E+000	-2,597488105119334E+000	3,440478513086200E+003	-4,497759075666077E+000	3,254573391201789E+000	0,0000000E+000
0,000000000000000E+000	3,292055134940970E+000	0,000000000000000E+000	2,4220607E+000	-2,634969848858515E+000	3,470478512328336E+003	-4,497809362325953E+000	3,292055134940970E+000	0,0000000E+000
0,000000000000000E+000	3,329536928623837E+000	0,000000000000000E+000	2,4211328E+000	-2,672451642541382E+000	3,500478511570473E+003	-4,497815355568368E+000	3,329536928623837E+000	0,0000000E+000
0,000000000000000E+000	3,367018954321147E+000	0,000000000000000E+000	2,4202352E+000	-2,709933668238693E+000	3,530478510812609E+003	-4,497843197302369E+000	3,367018954321147E+000	0,0000000E+000
0,000000000000000E+000	3,404501465408009E+000	0,000000000000000E+000	2,4193149E+000	-2,747416179325554E+000	3,560478510054745E+003	-4,497901444049903E+000	3,404501465408009E+000	0,0000000E+000
